epoch,train_loss,val_loss,lr,elapsed_s
1,5.283165,5.238401,1.00e-03,0.9
2,5.082704,5.220052,1.00e-03,1.1
3,4.966867,5.193743,1.00e-03,1.3
4,4.863847,5.073148,1.00e-03,1.4
5,4.725056,4.968251,1.00e-03,1.6
6,4.520540,4.847410,1.00e-03,1.8
7,4.330008,4.766770,1.00e-03,2.0
8,4.127625,4.737780,1.00e-03,2.2
9,3.994066,4.689352,1.00e-03,2.4
10,3.820087,4.616158,1.00e-03,2.5
11,3.696591,4.581642,1.00e-03,2.7
12,3.572027,4.638432,1.00e-03,2.9
13,3.447669,4.647864,1.00e-03,3.1
14,3.358483,4.664201,1.00e-03,3.3
15,3.252111,4.581684,5.00e-04,3.5
16,3.134309,4.625861,5.00e-04,3.7
17,3.099028,4.638443,5.00e-04,3.9
18,3.034347,4.646279,5.00e-04,4.0
