epoch,train_loss,val_loss,lr,elapsed_s
1,2.647265,5.211437,1.00e-03,4.8
2,2.538441,5.156998,1.00e-03,9.5
3,2.476014,5.157365,1.00e-03,14.2
4,2.386062,4.990685,1.00e-03,18.8
5,2.265816,4.936885,1.00e-03,23.5
6,2.133020,4.896423,1.00e-03,28.2
7,2.051062,4.786760,1.00e-03,32.9
8,1.953558,4.875170,1.00e-03,37.5
9,1.829553,5.073351,1.00e-03,42.2
10,1.720449,4.811594,1.00e-03,46.8
11,1.620654,4.979128,5.00e-04,51.4
12,1.461093,5.357477,5.00e-04,55.9
13,1.388167,5.577194,5.00e-04,60.5
14,1.337604,5.898559,5.00e-04,65.0
